               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.043514,            0.016827,           0.0051235,             0.57617,             0.56061,             0.62897,             0.24992,            0.034301,           0.0070758,            0.012329,            0.014587,           0.0075875,           0.0075875
                  94,            0.045036,            0.011309,           0.0027791,             0.36481,             0.72727,             0.53136,             0.26904,            0.037602,           0.0064082,            0.014749,             0.01365,           0.0076505,           0.0076505
                  95,            0.050842,            0.012331,           0.0043332,             0.47175,             0.57629,             0.62028,             0.29714,             0.02863,           0.0067296,            0.017349,            0.012713,           0.0077131,           0.0077131
                  96,            0.043909,            0.015232,           0.0042916,             0.23199,             0.56061,             0.26064,            0.096194,            0.039904,           0.0058894,            0.019562,            0.011775,           0.0077752,           0.0077752
                  97,            0.048442,            0.011453,           0.0047018,             0.66238,             0.34848,              0.4412,             0.20165,            0.031078,           0.0067301,            0.022253,            0.010837,            0.007837,            0.007837
                  98,            0.046471,            0.014697,            0.004895,             0.26371,             0.39394,             0.28665,            0.091409,             0.03637,           0.0074751,            0.020758,           0.0098984,           0.0078984,           0.0078984
                  99,            0.045201,            0.016748,           0.0054008,             0.24122,             0.39394,             0.35917,             0.14049,            0.032673,           0.0065928,            0.021777,           0.0089594,           0.0079594,           0.0079594
                 100,            0.050435,            0.011417,           0.0040602,             0.18489,             0.53598,             0.36541,             0.15514,            0.034717,           0.0062425,              0.0211,             0.00802,             0.00802,             0.00802
                 101,            0.042156,              0.0121,            0.003309,             0.24375,             0.68673,             0.38266,              0.2015,            0.029752,           0.0057867,            0.014688,             0.00802,             0.00802,             0.00802
                 102,            0.043415,            0.015132,           0.0035094,               0.325,             0.77273,              0.4211,             0.19039,            0.029801,           0.0051272,            0.014035,           0.0080002,           0.0080002,           0.0080002
                 103,             0.04132,            0.014322,           0.0056553,             0.25568,             0.81167,             0.44713,             0.28456,            0.025965,           0.0050805,            0.014758,           0.0079804,           0.0079804,           0.0079804
                 104,            0.041398,            0.012708,           0.0035563,             0.52035,             0.34848,             0.50202,             0.20338,            0.030353,           0.0065205,            0.014613,           0.0079606,           0.0079606,           0.0079606
                 105,            0.042555,            0.012816,           0.0054027,             0.33097,             0.65152,             0.48346,             0.29315,            0.027232,            0.006675,            0.023206,           0.0079408,           0.0079408,           0.0079408
                 106,            0.037402,            0.014449,           0.0030427,             0.32262,              0.4714,             0.54288,              0.2248,            0.031456,           0.0064347,            0.025934,            0.007921,            0.007921,            0.007921
                 107,            0.046009,            0.011449,           0.0054079,             0.23385,              0.5303,              0.4328,             0.23334,            0.031421,           0.0054772,            0.026538,           0.0079012,           0.0079012,           0.0079012
                 108,            0.038585,             0.01294,           0.0029229,             0.13856,             0.48485,             0.30772,             0.12939,            0.033417,           0.0052037,            0.027832,           0.0078814,           0.0078814,           0.0078814
                 109,             0.04587,            0.013173,             0.00421,             0.17148,              0.5303,             0.35117,             0.15887,            0.031525,           0.0048614,             0.02641,           0.0078616,           0.0078616,           0.0078616
                 110,            0.040711,            0.015099,            0.006075,             0.19597,             0.27273,             0.31476,             0.18836,            0.026659,           0.0050697,            0.027509,           0.0078418,           0.0078418,           0.0078418
                 111,            0.044612,            0.010716,           0.0044097,             0.79375,             0.25995,             0.32285,             0.14037,            0.030769,           0.0056994,             0.02688,            0.007822,            0.007822,            0.007822
                 112,            0.038889,            0.010169,           0.0053001,             0.28952,             0.69697,             0.36314,             0.17461,            0.026907,           0.0060856,             0.02265,           0.0078022,           0.0078022,           0.0078022
                 113,             0.03668,             0.01659,           0.0065745,             0.60267,             0.39394,             0.43829,              0.2192,            0.030693,           0.0065598,            0.023337,           0.0077824,           0.0077824,           0.0077824
                 114,            0.041451,            0.011504,           0.0039897,             0.73901,             0.54124,             0.56641,             0.26594,            0.029069,           0.0067546,            0.023605,           0.0077626,           0.0077626,           0.0077626
                 115,            0.040431,            0.012875,           0.0029637,              0.6796,             0.39394,             0.52288,             0.34152,            0.030193,           0.0067062,             0.02225,           0.0077428,           0.0077428,           0.0077428
                 116,            0.040793,            0.013109,           0.0044478,             0.75604,             0.51683,             0.63993,             0.33196,             0.02765,           0.0063231,             0.02327,            0.007723,            0.007723,            0.007723
                 117,            0.031585,            0.011225,            0.002433,             0.69817,             0.34848,             0.49561,             0.32706,            0.028533,           0.0061252,            0.022906,           0.0077032,           0.0077032,           0.0077032
                 118,            0.039369,            0.011399,           0.0075791,              0.3532,             0.81818,             0.54486,             0.30063,            0.026738,            0.005779,            0.018953,           0.0076834,           0.0076834,           0.0076834
                 119,            0.037382,           0.0087717,           0.0071974,             0.38189,             0.47333,             0.40416,             0.21484,            0.023989,            0.005722,            0.021774,           0.0076636,           0.0076636,           0.0076636
                 120,             0.03209,            0.011568,           0.0052895,             0.21958,             0.43939,             0.29709,             0.13912,            0.032787,           0.0062342,            0.021234,           0.0076438,           0.0076438,           0.0076438
                 121,            0.044189,            0.010675,           0.0043638,             0.19612,             0.65152,             0.40536,             0.18101,            0.029755,            0.006125,             0.02453,            0.007624,            0.007624,            0.007624
